County,Property Address,Parcel ID,Auction Status,Auction Type,Case #,Parcel ID URL,Assessed Value,Opening Bid,Certificate #
Citrus,"932 N GARDENVIEW TER, CRYSTAL RIVER, 34429",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0081TD ,N/A,"$15,754.00","$9,217.37",18-8884
Citrus,"7869 N MERRIMAC WAY, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0083TD ,N/A,"$3,315.00","$9,377.70",19-3258
Citrus,"1450 NW 19TH ST, CRYSTAL RIVER, 34428",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0086TD ,N/A,"$9,874.00","$2,690.46",21-5083
Citrus,"10640 S HALO PT, HOMOSASSA, 34448",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0087TD ,N/A,"$8,360.00","$1,786.38",21-7489
Citrus,"3298 E PIERCE ST, INVERNESS, 34453",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0088TD ,N/A,"$3,897.00","$1,431.61",20-0141
Citrus,"9292 E BURRO CT, INVERNESS, 34450",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0089TD ,N/A,"$8,370.00","$1,826.83",21-7403
Citrus,"1213 SE 4TH ST, CRYSTAL RIVER, 34429",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0090TD ,N/A,"$5,181.00","$2,127.15",18-6960
Citrus,"10520 E BERGER CT, INVERNESS, 34450",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0091TD ,N/A,"$5,410.00","$2,111.82",17-0068
Citrus,"2907 E CARNELL CT, HERNANDO, 34442",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0093TD ,N/A,"$1,065.00","$1,474.32",19-5938
Citrus,"9041 N CEREUS WAY, CRYSTAL RIVER, 34428",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0094TD ,N/A,"$8,680.00","$2,330.97",21-5228
Citrus,"5 CROSSANDRA CT W, HOMOSASSA, 34446",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0095TD ,N/A,"$10,408.00","$3,259.58",18-5747
Citrus,"6991 E CHANNEL DR, HERNANDO, 34442",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0096TD ,N/A,"$9,075.00","$1,654.90",21-7145
Citrus,7358 N VERONICA DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0149TD ,N/A,"$3,461.00","$3,687.40",19-2494
Citrus,6360 E GLOVER ST,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0153TD ,N/A,"$4,259.00",$955.56,21-6605
Citrus,3390 W EARLY PL,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0154TD ,N/A,"$3,820.00","$3,909.40",21-1771
Citrus,1195 E TOLEDO DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0155TD ,N/A,"$2,609.00","$2,094.53",20-3232
Citrus,6658 E GRAYSON ST,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0156TD ,N/A,"$4,259.00",$956.18,21-6610
Citrus,2714 W ORANGE GROVE PL,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0158TD ,N/A,"$3,086.00","$1,528.97",20-9033
Citrus,7354 N VERONICA DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0162TD ,N/A,"$3,461.00","$3,679.42",19-2495
Citrus,1304 W CARY DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0163TD ,N/A,"$4,477.00","$2,016.58",19-2446
Citrus,1984 W DELMANE DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0165TD ,N/A,"$3,291.00","$1,630.73",20-4368
Citrus,10185 N HALSEY WAY,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0166TD ,N/A,"$3,098.00","$2,348.09",19-1615
Citrus,4887 N SANDPEBBLE PT,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0167TD ,N/A,"$7,671.00","$1,984.59",18-4860
Citrus,2123 W RILEY DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0168TD ,N/A,"$3,607.00","$3,091.26",19-3700
Citrus,6240 N BEDSTROW BLVD,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0169TD ,N/A,"$3,409.00","$2,076.15",17-3921
Citrus,9325 E ROYAL PALM DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0172TD ,N/A,"$3,431.00","$1,371.98",21-4143
Citrus,6358 W GOLDENLEAF LN,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0173TD ,N/A,"$4,247.00","$1,088.44",21-7577
Citrus,9657 W MOSS ROSE LN,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0174TD ,N/A,"$7,120.00","$4,614.10",18-8880
Citrus,1591 W SKYLINE DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0175TD ,N/A,"$3,007.00","$3,145.25",19-3789
Citrus,2414 W BENTLEY ST,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0176TD ,N/A,"$4,008.00","$2,111.26",17-3757
Citrus,8741 N QUARRY DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0178TD ,N/A,"$3,181.00","$2,897.91",19-2083
Citrus,8755 N QUARRY DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0179TD ,N/A,"$3,181.00","$2,897.91",19-2082
Citrus,10201 N HALSEY WAY,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0180TD ,N/A,"$3,098.00","$2,374.42",19-1614
Citrus,8089 N WELLINGTON TER,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0184TD ,N/A,"$5,138.00","$2,215.10",21-2039
Citrus,824 S APOPKA AVE,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0185TD ,N/A,"$6,982.00","$2,238.44",18-6693
Citrus,5981 N BEDSTROW BLVD,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0186TD ,N/A,"$4,008.00","$2,260.62",17-4210
Citrus,5564 W X ANNE LN,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0187TD ,N/A,"$6,057.00","$1,295.29",21-5127
Citrus,8577 N BACHELOR BUTTON WAY,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0188TD ,N/A,"$8,456.00","$2,165.07",18-6512
Citrus,1606 E BADGER DR,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0191TD ,N/A,"$3,037.00","$1,551.17",20-3120
Citrus,1665 E ARTESIAN LN,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0192TD ,N/A,"$3,037.00","$1,466.53",20-3126
Citrus,11475 S ROSEWATER PT,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0196TD ,N/A,"$6,456.00","$1,610.05",20-9765
Citrus,2306 TYLER ST,N/A,07/17/2024 10:00 AM ET,TAXDEED, 2024-0198TD ,N/A,"$1,744.00","$1,165.61",20-5249
