County,Property Address,Auction Status,Case #,Auction Type,Case # Link,Parcel ID,Parcel ID Link,Assessed Value,Opening Bid,Final Judgment Amount,Certificate #,Tags
Alachua,6110 SW 10TH PL,06/04/2024 10:00 AM ET,TD 2024-032,TAXDEED ,N/A,06675-009-004,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=06675-009-004,"$86,130.00","$15,190.11",N/A,2021-1626,"Alachua, TAXDEED "
Citrus,7589 W BROADWAY ST,06/12/2024 10:00 AM ET,2024-0015TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$5,264.00","$1,450.74",N/A,17-4845,"Citrus, TAXDEED"
Citrus,6844 W GRANT ST,06/12/2024 10:00 AM ET,2024-0036TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$7,986.00","$1,648.30",N/A,18-7085,"Citrus, TAXDEED"
Citrus,8718 W FAUST LN,06/12/2024 10:00 AM ET,2024-0082TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,$496.00,"$1,413.34",N/A,21-5682,"Citrus, TAXDEED"
Citrus,10905 W PALMETTO ST,06/12/2024 10:00 AM ET,2024-0097TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$8,029.00","$2,366.08",N/A,21-7082,"Citrus, TAXDEED"
Citrus,6046 E BANNER LN,06/12/2024 10:00 AM ET,2024-0098TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$4,259.00","$1,066.63",N/A,21-6587,"Citrus, TAXDEED"
Citrus,0 E INDIAN OAKS CT,06/12/2024 10:00 AM ET,2024-0099TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$4,259.00","$1,475.49",N/A,21-6541,"Citrus, TAXDEED"
Citrus,8754 N NOBLETON WAY,06/12/2024 10:00 AM ET,2024-0101TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$3,037.00","$2,322.43",N/A,20-3048,"Citrus, TAXDEED"
Citrus,411 OAK ST,06/12/2024 10:00 AM ET,2024-0102TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$6,679.00","$1,389.16",N/A,21-5457,"Citrus, TAXDEED"
Citrus,6000 E DALY LN,06/12/2024 10:00 AM ET,2024-0103TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$4,259.00","$1,091.02",N/A,21-6594,"Citrus, TAXDEED"
Citrus,6094 E HOLLY ST,06/12/2024 10:00 AM ET,2024-0104TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$4,259.00","$1,091.02",N/A,21-6623,"Citrus, TAXDEED"
Citrus,362 E GAMEWELL LN,06/12/2024 10:00 AM ET,2024-0105TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$2,662.00","$1,458.64",N/A,21-3383,"Citrus, TAXDEED"
Citrus,8157 W GAYLE LN,06/12/2024 10:00 AM ET,2024-0106TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$2,980.00","$1,770.23",N/A,21-5582,"Citrus, TAXDEED"
Citrus,8380 N LEGACY LOOP,06/12/2024 10:00 AM ET,2024-0107TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$5,324.00","$1,668.25",N/A,21-2044,"Citrus, TAXDEED"
Citrus,6647 E HAYDEN LN,06/12/2024 10:00 AM ET,2024-0108TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$4,259.00",$993.85,N/A,21-6617,"Citrus, TAXDEED"
Citrus,7924 W MESA LN,06/12/2024 10:00 AM ET,2024-0109TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$9,460.00","$6,164.69",N/A,18-7813,"Citrus, TAXDEED"
Citrus,3863 W KLETT PATH,06/12/2024 10:00 AM ET,2024-0110TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$4,356.00","$1,280.76",N/A,21-6489,"Citrus, TAXDEED"
Citrus,3002 W LIZA PL,06/12/2024 10:00 AM ET,2024-0111TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$3,098.00","$1,765.12",N/A,21-1264,"Citrus, TAXDEED"
Citrus,9451 N ATHENIA DR,06/12/2024 10:00 AM ET,2024-0112TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$2,609.00","$1,947.23",N/A,20-3247,"Citrus, TAXDEED"
Citrus,8616 N ORANGEBUD TER,06/12/2024 10:00 AM ET,2024-0113TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$5,766.00","$1,480.21",N/A,20-6620,"Citrus, TAXDEED"
Citrus,8385 N ALAMEDA DR,06/12/2024 10:00 AM ET,2024-0114TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$3,110.00","$2,288.53",N/A,21-2537,"Citrus, TAXDEED"
Citrus,492 W UNION PL,06/12/2024 10:00 AM ET,2024-0115TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$3,834.00","$1,756.43",N/A,21-1470,"Citrus, TAXDEED"
Citrus,5959 E SENECA ST,06/12/2024 10:00 AM ET,2024-0116TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$4,066.00","$1,004.36",N/A,21-6662,"Citrus, TAXDEED"
Citrus,8486 W JENNIFER CT,06/12/2024 10:00 AM ET,2024-0117TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$7,369.00","$1,712.02",N/A,21-0299,"Citrus, TAXDEED"
Citrus,9970 N GALLAHAD PT,06/12/2024 10:00 AM ET,2024-0118TD,TAXDEED,http://search.clerk.citrus.fl.us/,N/A,N/A,"$3,035.00","$1,616.89",N/A,20-3295,"Citrus, TAXDEED"
